VirusName,AccID,OriginLab,SubmittingLab,Authors
hCoV-19/Malaysia/UNIMAS-B110/2021,EPI_ISL_1318205,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-15936/2021,EPI_ISL_1318206,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-16331/2021,EPI_ISL_1318207,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-B113/2021,EPI_ISL_1318208,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-15915/2021,EPI_ISL_1318209,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-15933/2021,EPI_ISL_1318210,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-15888/2021,EPI_ISL_1318211,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-15877/2021,EPI_ISL_1318212,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-16299/2021,EPI_ISL_1318213,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-16061/2021,EPI_ISL_1318214,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-16282/2021,EPI_ISL_1318215,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-CRC0379/2021,EPI_ISL_1318216,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-CRC0439/2021,EPI_ISL_1318217,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-CRC0441/2021,EPI_ISL_1318218,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-CRC0445/2021,EPI_ISL_1318219,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-15935/2021,EPI_ISL_1334365,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-B080/2020,EPI_ISL_1363119,Borneo Medical Centre,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-B081/2020,EPI_ISL_1363120,Borneo Medical Centre,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-B082/2020,EPI_ISL_1363121,Borneo Medical Centre,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-B084/2020,EPI_ISL_1363122,Borneo Medical Centre,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-B085/2020,EPI_ISL_1363123,Borneo Medical Centre,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/IMR_320957/2021,EPI_ISL_1405917,Hospital Queen Elizabeth,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC107223/2021,EPI_ISL_1405966,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC100363/2021,EPI_ISL_1406078,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC100371/2021,EPI_ISL_1406146,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC102872/2021,EPI_ISL_1406148,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC93839/2021,EPI_ISL_1406153,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC107610/2021,EPI_ISL_1406178,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC100111/2021,EPI_ISL_1406185,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC101122/2021,EPI_ISL_1406187,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC105668/2021,EPI_ISL_1406192,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC102543/2021,EPI_ISL_1406194,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC107580/2021,EPI_ISL_1406197,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC105713/2021,EPI_ISL_1406199,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC107337/2021,EPI_ISL_1406201,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC107357/2021,EPI_ISL_1406204,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC104487/2021,EPI_ISL_1406242,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
