"AccID","SubmittingLab"
"EPI_ISL_490047","IMR"
"EPI_ISL_490048","IMR"
"EPI_ISL_490089","IMR"
"EPI_ISL_490090","IMR"
"EPI_ISL_490091","IMR"
"EPI_ISL_490092","IMR"
"EPI_ISL_490093","IMR"
"EPI_ISL_490094","IMR"
"EPI_ISL_490095","IMR"
"EPI_ISL_490096","IMR"
"EPI_ISL_490097","IMR"
"EPI_ISL_490098","IMR"
"EPI_ISL_490099","IMR"
"EPI_ISL_490100","IMR"
"EPI_ISL_490101","IMR"
"EPI_ISL_490102","IMR"
"EPI_ISL_490103","IMR"
"EPI_ISL_501176","UMMC"
"EPI_ISL_501177","UMMC"
"EPI_ISL_501178","UMMC"
"EPI_ISL_501179","UMMC"
"EPI_ISL_501180","UMMC"
"EPI_ISL_501181","UMMC"
"EPI_ISL_501182","UMMC"
"EPI_ISL_501183","UMMC"
"EPI_ISL_501184","UMMC"
"EPI_ISL_501185","UMMC"
"EPI_ISL_501186","UMMC"
"EPI_ISL_501187","UMMC"
"EPI_ISL_501188","UMMC"
"EPI_ISL_501189","UMMC"
"EPI_ISL_501190","UMMC"
"EPI_ISL_501191","UMMC"
"EPI_ISL_501192","UMMC"
"EPI_ISL_501193","UMMC"
"EPI_ISL_501194","UMMC"
"EPI_ISL_501195","UMMC"
"EPI_ISL_501196","UMMC"
"EPI_ISL_501197","UMMC"
"EPI_ISL_501198","UMMC"
"EPI_ISL_501199","UMMC"
"EPI_ISL_501200","UMMC"
"EPI_ISL_501201","UMMC"
"EPI_ISL_501202","UMMC"
"EPI_ISL_501203","UMMC"
"EPI_ISL_501204","UMMC"
"EPI_ISL_501205","UMMC"
"EPI_ISL_501206","UMMC"
"EPI_ISL_501207","UMMC"
"EPI_ISL_501208","UMMC"
"EPI_ISL_501209","UMMC"
"EPI_ISL_501210","UMMC"
"EPI_ISL_501211","UMMC"
"EPI_ISL_501212","UMMC"
"EPI_ISL_501213","UMMC"
"EPI_ISL_501214","UMMC"
"EPI_ISL_501215","UMMC"
"EPI_ISL_501216","UMMC"
